No,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,Date_Time,Age_Bin,Day,Part_of_day,PROMO
1,malay,female,moderate,45,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,2015-10-19 20:17:50,44-47,Monday,Evening,NO
2,indian,male,thin,32,no,no_kids,big,green,casual,green,short_sleeve,blue,long,clothes,6,9,no,2015-10-19 20:28:42,32-35,Monday,Evening,NO
3,malay,female,moderate,30,no,no_kids,big,blue,casual,red,short_sleeve,black,long,blankets,4,10,no,2015-10-19 20:58:31,28-31,Monday,Evening,NO
4,indian,male,thin,51,no,no_kids,big,black,casual,purple,short_sleeve,yellow,short,clothes,5,9,no,2015-10-19 21:31:28,48-51,Monday,Evening,YES
5,indian,male,moderate,34,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,3,9,no,2015-10-19 21:40:28,32-35,Monday,Evening,NO
6,indian,male,fat,50,no,no_kids,small,white,casual,brown,short_sleeve,blue,long,clothes,4,8,no,2015-10-19 23:45:38,48-51,Monday,Evening,NO
7,foreigner,female,fat,45,no,no_kids,big,pink,traditional,blue,short_sleeve,black,long,clothes,5,10,no,2015-10-19 23:53:38,44-47,Monday,Evening,YES
8,indian,male,thin,49,no,no_kids,big,blue,casual,grey,short_sleeve,brown,long,clothes,3,9,no,2015-10-20 00:24:01,48-51,Tuesday,Early Morning,NO
9,indian,male,thin,30,no,no_kids,small,purple,casual,white,short_sleeve,black,short,clothes,6,10,no,2015-10-20 00:45:19,28-31,Tuesday,Early Morning,YES
10,chinese,male,moderate,33,no,no_kids,small,pink,casual,white,short_sleeve,blue,short,clothes,5,7,no,2015-10-20 01:17:50,32-35,Tuesday,Early Morning,YES
11,foreigner,female,moderate,45,no,no_kids,big,red,casual,black,short_sleeve,grey,short,clothes,4,8,no,2015-10-20 03:07:16,44-47,Tuesday,Early Morning,NO
12,indian,male,moderate,37,no,no_kids,big,blue,casual,brown,short_sleeve,blue,long,clothes,4,8,no,2015-10-20 07:23:12,36-39,Tuesday,Morning,NO
13,malay,female,moderate,36,no,no_kids,big,blue,casual,blue,long sleeve,blue,long,clothes,3,7,no,2015-10-20 07:23:12,36-39,Tuesday,Morning,NO
14,malay,male,moderate,46,no,no_kids,big,yellow,casual,yellow,short_sleeve,black,long,clothes,3,9,yes,2015-10-20 09:06:14,44-47,Tuesday,Morning,YES
15,malay,female,moderate,55,yes,young,big,red,casual,orange,long sleeve,grey,long,clothes,3,8,yes,2015-10-20 10:05:17,52-55,Tuesday,Morning,NO
16,foreigner,male,thin,33,no,no_kids,big,brown,formal,green,long sleeve,brown,long,clothes,5,9,no,2015-10-20 10:41:35,32-35,Tuesday,Morning,NO
17,malay,female,thin,55,yes,toddler,big,purple,casual,brown,long sleeve,grey,long,clothes,4,7,no,2015-10-20 10:49:31,52-55,Tuesday,Morning,YES
18,malay,male,fat,37,yes,toddler,big,blue,casual,grey,short_sleeve,grey,long,clothes,5,9,no,2015-10-20 10:57:47,36-39,Tuesday,Morning,NO
19,malay,female,fat,55,yes,toddler,big,blue,traditional,orange,long sleeve,orange,long,clothes,6,7,yes,2015-10-20 11:13:26,52-55,Tuesday,Morning,YES
20,malay,female,moderate,50,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,2015-10-20 11:19:20,48-51,Tuesday,Morning,YES
21,indian,male,fat,34,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,2015-10-20 11:27:26,32-35,Tuesday,Morning,NO
22,indian,male,moderate,53,yes,baby,big,white,formal,red,long sleeve,black,long,clothes,5,9,no,2015-10-20 11:27:57,52-55,Tuesday,Morning,NO
23,malay,female,fat,38,yes,young,big,white,casual,red,short_sleeve,blue,long,blankets,3,7,no,2015-10-20 11:28:43,36-39,Tuesday,Morning,NO
24,chinese,female,thin,29,no,no_kids,small,white,casual,brown,short_sleeve,black,long,blankets,3,7,yes,2015-10-20 13:36:46,28-31,Tuesday,Afternoon,NO
25,chinese,female,moderate,44,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,5,7,no,2015-10-20 12:10:46,44-47,Tuesday,Afternoon,NO
26,chinese,female,moderate,42,no,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,2015-10-20 13:44:03,40-43,Tuesday,Afternoon,YES
27,chinese,male,moderate,41,no,no_kids,big,white,casual,black,short_sleeve,brown,long,clothes,6,9,no,2015-10-20 13:47:46,40-43,Tuesday,Afternoon,NO
28,chinese,male,thin,36,yes,young,big,white,casual,grey,short_sleeve,white,short,blankets,5,9,yes,2015-10-20 14:39:57,36-39,Tuesday,Afternoon,NO
29,indian,male,fat,39,no,no_kids,big,blue,casual,black,short_sleeve,blue,long,clothes,4,10,no,2015-10-20 14:54:19,36-39,Tuesday,Afternoon,NO
30,indian,male,thin,42,no,no_kids,big,green,casual,black,short_sleeve,blue,long,clothes,6,9,no,2015-10-20 14:54:19,40-43,Tuesday,Afternoon,NO
31,malay,female,fat,32,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,2015-10-20 15:26:05,32-35,Tuesday,Afternoon,YES
32,chinese,female,thin,40,yes,toddler,big,white,casual,white,short_sleeve,white,short,clothes,5,9,yes,2015-10-20 15:45:51,40-43,Tuesday,Afternoon,NO
